Question,Correct_PDF,Top_Results,Latency_ms,Recall@1,Recall@3,Recall@5,Top_Citations
"What is the main AI-related objective of Constitutional AI: Harmlessness from AI Feedback Yuntao Bai, Saurav Kadavath,?",2212.08073v1.pdf,"['2212.08073v1.pdf', '2212.08073v1.pdf', '2212.08073v1.pdf', '2212.08073v1.pdf', '2212.08073v1.pdf']",375.78,1,1,1,"['2212.08073v1.pdf, p. 1', '2212.08073v1.pdf, p. 2', '2212.08073v1.pdf, p. 16', '2212.08073v1.pdf, p. 5', '2212.08073v1.pdf, p. 10']"
What is the main AI-related objective of BLIP-2: Bootstrapping Language-Image Pre-training with Frozen Image Encoders and?,2301.12597v3.pdf,"['2301.12597v3.pdf', '2301.12597v3.pdf', '2301.12597v3.pdf', '2301.12597v3.pdf', '2301.12597v3.pdf']",381.44,1,1,1,"['2301.12597v3.pdf, p. 4', '2301.12597v3.pdf, p. 1', '2301.12597v3.pdf, p. 2', '2301.12597v3.pdf, p. 13', '2301.12597v3.pdf, p. 6']"
What is the main AI-related objective of Toolformer: Language Models Can Teach Themselves to Use Tools Timo Schick Jane?,2302.04761v1.pdf,"['2302.04761v1.pdf', '2302.04761v1.pdf', 'article-p35.pdf', '2303.18223v19 (1).pdf', '2303.18223v19.pdf']",493.67,1,1,1,"['2302.04761v1.pdf, p. 1', '2302.04761v1.pdf, p. 10', 'article-p35.pdf, p. 4', '2303.18223v19 (1).pdf, p. 62', '2303.18223v19.pdf, p. 62']"
"What is the main AI-related objective of LLaMA: Open and Efficient Foundation Language Models Hugo Touvron, Thibaut Lavril,?",2302.13971v1.pdf,"['2306.05685v4.pdf', '2303.18223v19 (1).pdf', '2303.18223v19.pdf', '2310.06825v1.pdf', '2309.12288v4.pdf']",455.85,0,0,0,"['2306.05685v4.pdf, p. 12', '2303.18223v19 (1).pdf, p. 12', '2303.18223v19.pdf, p. 12', '2310.06825v1.pdf, p. 9', '2309.12288v4.pdf, p. 13']"
What is the main AI-related objective of GPT-4 Technical Report OpenAI?,2303.08774v6.pdf,"['2303.08774v6.pdf', '2303.08774v6.pdf', '2303.08774v6.pdf', '2303.08774v6.pdf', '2303.08774v6.pdf']",264.58,1,1,1,"['2303.08774v6.pdf, p. 59', '2303.08774v6.pdf, p. 1', '2303.08774v6.pdf, p. 2', '2303.08774v6.pdf, p. 2', '2303.08774v6.pdf, p. 1']"
"What is the main AI-related objective of A Survey of Large Language Models Wayne Xin Zhao, Kun Zhou*, Junyi Li*, Tianyi Tang,?",2303.18223v19 (1).pdf,"['2303.18223v19.pdf', '2303.18223v19 (1).pdf', '2303.18223v19 (1).pdf', '2303.18223v19.pdf', '2303.18223v19.pdf']",441.96,0,1,1,"['2303.18223v19.pdf, p. 1', '2303.18223v19 (1).pdf, p. 1', '2303.18223v19 (1).pdf, p. 121', '2303.18223v19.pdf, p. 121', '2303.18223v19.pdf, p. 128']"
"What is the main AI-related objective of A Survey of Large Language Models Wayne Xin Zhao, Kun Zhou*, Junyi Li*, Tianyi Tang,?",2303.18223v19.pdf,"['2303.18223v19.pdf', '2303.18223v19 (1).pdf', '2303.18223v19 (1).pdf', '2303.18223v19.pdf', '2303.18223v19.pdf']",417.76,1,1,1,"['2303.18223v19.pdf, p. 1', '2303.18223v19 (1).pdf, p. 1', '2303.18223v19 (1).pdf, p. 121', '2303.18223v19.pdf, p. 121', '2303.18223v19.pdf, p. 128']"
What is the main AI-related objective of IMAGEBIND: One Embedding Space To Bind Them All Rohit Girdhar Alaaeldin El-Nouby?,2305.05665v2.pdf,"['2305.05665v2.pdf', '2305.05665v2.pdf', '2305.05665v2.pdf', '2305.05665v2.pdf', '2305.05665v2.pdf']",375.8,1,1,1,"['2305.05665v2.pdf, p. 1', '2305.05665v2.pdf, p. 6', '2305.05665v2.pdf, p. 1', '2305.05665v2.pdf, p. 2', '2305.05665v2.pdf, p. 15']"
What is the main AI-related objective of Tree of Thoughts: Deliberate Problem Solving with Large Language Models Shunyu Yao?,2305.10601v2.pdf,"['2305.10601v2.pdf', '2305.10601v2.pdf', '2305.10601v2.pdf', '2305.10601v2.pdf', '2305.10601v2.pdf']",345.62,1,1,1,"['2305.10601v2.pdf, p. 1', '2305.10601v2.pdf, p. 3', '2305.10601v2.pdf, p. 2', '2305.10601v2.pdf, p. 2', '2305.10601v2.pdf, p. 9']"
"What is the main AI-related objective of The RefinedWeb Dataset for Falcon LLM: Outperforming Curated Corpora with Web Data,?",2306.01116v1.pdf,"['2306.01116v1.pdf', '2303.18223v19.pdf', '2303.18223v19 (1).pdf', '2306.01116v1.pdf', '2306.01116v1.pdf']",380.38,1,1,1,"['2306.01116v1.pdf, p. 1', '2303.18223v19.pdf, p. 108', '2303.18223v19 (1).pdf, p. 108', '2306.01116v1.pdf, p. 17', '2306.01116v1.pdf, p. 7']"
What is the main AI-related objective of Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena Lianmin Zheng1?,2306.05685v4.pdf,"['2306.05685v4.pdf', '2306.05685v4.pdf', '2306.05685v4.pdf', '2306.05685v4.pdf', '2303.18223v19 (1).pdf']",310.57,1,1,1,"['2306.05685v4.pdf, p. 1', '2306.05685v4.pdf, p. 7', '2306.05685v4.pdf, p. 4', '2306.05685v4.pdf, p. 4', '2303.18223v19 (1).pdf, p. 65']"
What is the main AI-related objective of Lost in the Middle: How Language Models Use Long Contexts Nelson F. Liu1 Kevin Lin2?,2307.03172v3.pdf,"['2303.18223v19 (1).pdf', '2303.18223v19.pdf', '2307.03172v3.pdf', '2309.12288v4.pdf', '2307.03172v3.pdf']",402.52,0,1,1,"['2303.18223v19 (1).pdf, p. 118', '2303.18223v19.pdf, p. 118', '2307.03172v3.pdf, p. 1', '2309.12288v4.pdf, p. 13', '2307.03172v3.pdf, p. 12']"
What is the main AI-related objective of https://robotics-transformer2.github.io 2023-8-1 RT-2: Vision-Language-Action Models?,2307.15818v1.pdf,"['2307.15818v1.pdf', '2307.15818v1.pdf', '2307.15818v1.pdf', '2307.15818v1.pdf', '2307.15818v1.pdf']",256.08,1,1,1,"['2307.15818v1.pdf, p. 1', '2307.15818v1.pdf, p. 7', '2307.15818v1.pdf, p. 2', '2307.15818v1.pdf, p. 12', '2307.15818v1.pdf, p. 14']"
"What is the main AI-related objective of THE REVERSAL CURSE: LLMS TRAINED ON ""A IS B"" FAIL TO LEARN ""B IS A"" Lukas Berglund?",2309.12288v4.pdf,"['2309.12288v4.pdf', '2309.12288v4.pdf', '2309.12288v4.pdf', '2309.12288v4.pdf', '2309.12288v4.pdf']",437.91,1,1,1,"['2309.12288v4.pdf, p. 1', '2309.12288v4.pdf, p. 2', '2309.12288v4.pdf, p. 2', '2309.12288v4.pdf, p. 2', '2309.12288v4.pdf, p. 8']"
What is the main AI-related objective of RA-DIT: RETRIEVAL-AUGMENTED DUAL INSTRUCTION TUNING Xi Victoria Lin?,2310.01352v4.pdf,"['2310.01352v4.pdf', '2310.01352v4.pdf', '2310.11511v1.pdf', '2310.01352v4.pdf', '2310.01352v4.pdf']",307.17,1,1,1,"['2310.01352v4.pdf, p. 1', '2310.01352v4.pdf, p. 2', '2310.11511v1.pdf, p. 12', '2310.01352v4.pdf, p. 9', '2310.01352v4.pdf, p. 9']"
"What is the main AI-related objective of Mistral 7B Albert Q. Jiang, Alexandre Sablayrolles, Arthur Mensch, Chris Bamford,?",2310.06825v1.pdf,"['s44163-022-00022-8.pdf', '1910.10045v2.pdf', '2310.06825v1.pdf', '1606.06565v2.pdf', '9780203802878_previewpdf.pdf']",393.31,0,1,1,"['s44163-022-00022-8.pdf, p. 3', '1910.10045v2.pdf, p. 37', '2310.06825v1.pdf, p. 1', '1606.06565v2.pdf, p. 25', '9780203802878_previewpdf.pdf, p. 6']"
"What is the main AI-related objective of SELF-RAG: LEARNING TO RETRIEVE, GENERATE, AND CRITIQUE THROUGH SELF-REFLECTION Akari?",2310.11511v1.pdf,"['2310.11511v1.pdf', '2310.11511v1.pdf', '2310.11511v1.pdf', '2310.11511v1.pdf', '2310.11511v1.pdf']",415.64,1,1,1,"['2310.11511v1.pdf, p. 10', '2310.11511v1.pdf, p. 3', '2310.11511v1.pdf, p. 1', '2310.11511v1.pdf, p. 1', '2310.11511v1.pdf, p. 3']"
"What is the main AI-related objective of COMPUTATIONAL CONSIDERATIONS FOR THE LINEAR MODEL OF COREGIONALIZATION Renaud Alie,?",2402.08877v2.pdf,"['1910.10045v2.pdf', '1606.06565v2.pdf', '2402.08877v2.pdf', 'nature20230927_AI_and_science.pdf', 'article-p35.pdf']",353.89,0,1,1,"['1910.10045v2.pdf, p. 1', '1606.06565v2.pdf, p. 25', '2402.08877v2.pdf, p. 1', 'nature20230927_AI_and_science.pdf, p. 1', 'article-p35.pdf, p. 1']"
What is the main AI-related objective of XGBoost: A Scalable Tree Boosting System Tianqi Chen University of Washington?,2939672.2939785.pdf,"['2939672.2939785.pdf', '2939672.2939785.pdf', '2939672.2939785.pdf', '2939672.2939785.pdf', '2939672.2939785.pdf']",324.14,1,1,1,"['2939672.2939785.pdf, p. 1', '2939672.2939785.pdf, p. 1', '2939672.2939785.pdf, p. 1', '2939672.2939785.pdf, p. 1', '2939672.2939785.pdf, p. 7']"
"What is the main AI-related objective of MillWheel: Fault-Tolerant Stream Processing at Internet Scale Tyler Akidau, Alex?",41378.pdf,"['41378.pdf', 'p1792-Akidau.pdf', 'p1792-Akidau.pdf', '41378.pdf', '41378.pdf']",336.42,1,1,1,"['41378.pdf, p. 1', 'p1792-Akidau.pdf, p. 12', 'p1792-Akidau.pdf, p. 12', '41378.pdf, p. 1', '41378.pdf, p. 1']"
"What is the main AI-related objective of Deep Neural Networks for YouTube Recommendations Paul Covington, Jay Adams, Emre?",45530.pdf,"['45530.pdf', '45530.pdf', '45530.pdf', '45530.pdf', '45530.pdf']",346.07,1,1,1,"['45530.pdf, p. 1', '45530.pdf, p. 7', '45530.pdf, p. 1', '45530.pdf, p. 2', '45530.pdf, p. 2']"
What is the main AI-related objective of Cumulated Gain-Based Evaluation of IR Techniques KALERVO J ARVELIN and JAANA KEK?,582415.582418.pdf,"['nature20230927_AI_and_science.pdf', '582415.582418.pdf', '582415.582418.pdf', '582415.582418.pdf', '582415.582418.pdf']",373.0,0,1,1,"['nature20230927_AI_and_science.pdf, p. 1', '582415.582418.pdf, p. 18', '582415.582418.pdf, p. 1', '582415.582418.pdf, p. 3', '582415.582418.pdf, p. 4']"
What is the main AI-related objective of Chapter 4 Ethical Issues of AI Abstract This chapter discusses the ethical issues?,978-3-030-69978-9_4.pdf,"['978-3-030-69978-9_4.pdf', '978-3-030-69978-9_4.pdf', '978-3-030-69978-9_4.pdf', 'Artificial Intelligence (AI) Ethics_ Ethics of AI and Ethical AI.pdf', '978-3-030-69978-9_4.pdf']",384.78,1,1,1,"['978-3-030-69978-9_4.pdf, p. 5', '978-3-030-69978-9_4.pdf, p. 1', '978-3-030-69978-9_4.pdf, p. 3', 'Artificial Intelligence (AI) Ethics_ Ethics of AI and Ethical AI.pdf, p. 2', '978-3-030-69978-9_4.pdf, p. 1']"
What is the main AI-related objective of Kevin Warwick Artificial Intelligence?,9780203802878_previewpdf.pdf,"['9780203802878_previewpdf.pdf', '1910.10045v2.pdf', 's44163-022-00022-8.pdf', '9780203802878_previewpdf.pdf', '1910.10045v2.pdf']",243.74,1,1,1,"['9780203802878_previewpdf.pdf, p. 2', '1910.10045v2.pdf, p. 37', 's44163-022-00022-8.pdf, p. 1', '9780203802878_previewpdf.pdf, p. 18', '1910.10045v2.pdf, p. 1']"
"What is the main AI-related objective of Understanding AI Technology A concise, practical, and readable overview of?",AD1099286.pdf,"['AD1099286.pdf', '9780203802878_previewpdf.pdf', 'AD1099286.pdf', '9780203802878_previewpdf.pdf', 'AD1099286.pdf']",333.34,1,1,1,"['AD1099286.pdf, p. 5', '9780203802878_previewpdf.pdf, p. 21', 'AD1099286.pdf, p. 1', '9780203802878_previewpdf.pdf, p. 22', 'AD1099286.pdf, p. 5']"
"What is the main AI-related objective of The Basic AI Drives Stephen M. OMOHUNDRO Self-Aware Systems, Palo Alto, California?",ai_drives_final.pdf,"['ai_drives_final.pdf', 'ai_drives_final.pdf', 's44163-022-00022-8.pdf', 's44163-022-00022-8.pdf', '1910.10045v2.pdf']",384.76,1,1,1,"['ai_drives_final.pdf, p. 1', 'ai_drives_final.pdf, p. 2', 's44163-022-00022-8.pdf, p. 3', 's44163-022-00022-8.pdf, p. 1', '1910.10045v2.pdf, p. 2']"
What is the main AI-related objective of ADVANCES IN RISK ASSESSMENT Basics of Artificial Intelligence (AI) Modeling Rodney?,article-p35.pdf,"['article-p35.pdf', '978-3-030-69978-9_4.pdf', 's44163-022-00022-8.pdf', '9780203802878_previewpdf.pdf', '1606.06565v2.pdf']",344.24,1,1,1,"['article-p35.pdf, p. 1', '978-3-030-69978-9_4.pdf, p. 2', 's44163-022-00022-8.pdf, p. 13', '9780203802878_previewpdf.pdf, p. 2', '1606.06565v2.pdf, p. 1']"
What is the main AI-related objective of Missouri University of Science and Technology Missouri University of Science and?,Artificial Intelligence (AI) Ethics_ Ethics of AI and Ethical AI.pdf,"['Artificial Intelligence (AI) Ethics_ Ethics of AI and Ethical AI.pdf', 'Informe-AI-Now.pdf', 'Informe-AI-Now.pdf', 'Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf', 'Artificial Intelligence (AI) Ethics_ Ethics of AI and Ethical AI.pdf']",332.16,1,1,1,"['Artificial Intelligence (AI) Ethics_ Ethics of AI and Ethical AI.pdf, p. 1', 'Informe-AI-Now.pdf, p. 3', 'Informe-AI-Now.pdf, p. 6', 'Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf, p. 2', 'Artificial Intelligence (AI) Ethics_ Ethics of AI and Ethical AI.pdf, p. 15']"
"What is the main AI-related objective of Random Forests LEO BREIMAN Statistics Department, University of California,?",A_1010933404324.pdf,"['A_1010933404324.pdf', 'A_1010933404324.pdf', 'A_1010933404324.pdf', 'A_1010933404324.pdf', 'A_1010933404324.pdf']",312.52,1,1,1,"['A_1010933404324.pdf, p. 1', 'A_1010933404324.pdf, p. 3', 'A_1010933404324.pdf, p. 25', 'A_1010933404324.pdf, p. 1', 'A_1010933404324.pdf, p. 25']"
What is the main AI-related objective of Random Search for Hyper-Parameter Optimization James Bergstra?,bergstra12a.pdf,"['bergstra12a.pdf', 'bergstra12a.pdf', 'bergstra12a.pdf', 'bergstra12a.pdf', 'bergstra12a.pdf']",285.43,1,1,1,"['bergstra12a.pdf, p. 1', 'bergstra12a.pdf, p. 21', 'bergstra12a.pdf, p. 1', 'bergstra12a.pdf, p. 19', 'bergstra12a.pdf, p. 4']"
What is the main AI-related objective of REVIEW ARTICLE British Journal of Dermatology What is AI? Applications of artificial?,bjd0423.pdf,"['bjd0423.pdf', 'bjd0423.pdf', 'bjd0423.pdf', 'bjd0423.pdf', 'bjd0423.pdf']",552.44,1,1,1,"['bjd0423.pdf, p. 5', 'bjd0423.pdf, p. 8', 'bjd0423.pdf, p. 3', 'bjd0423.pdf, p. 7', 'bjd0423.pdf, p. 6']"
What is the main AI-related objective of Computer Networks and ISDN?,Brin98Anatomy.pdf,"['s44163-022-00022-8.pdf', 's44163-022-00022-8.pdf', '1802.07228v2.pdf', 'AD1099286.pdf', '2204.14198v2.pdf']",305.82,0,0,0,"['s44163-022-00022-8.pdf, p. 2', 's44163-022-00022-8.pdf, p. 12', '1802.07228v2.pdf, p. 56', 'AD1099286.pdf, p. 5', '2204.14198v2.pdf, p. 39']"
What is the main AI-related objective of Review Article A Review of Artificial Intelligence (AI) in Education from 2010 to?,Complexity - 2021 - Zhai - A Review of Artificial Intelligence AI in Education from 2010 to 2020.pdf,"['Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf', 'Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf', 'Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf', 'Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf', 'Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf']",418.91,0,0,0,"['Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf, p. 2', 'Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf, p. 14', 'Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf, p. 2', 'Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf, p. 13', 'Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf, p. 1']"
What is the main AI-related objective of Challenges Real-Time Musliner?,CS-TR-3290.pdf,"['CS-TR-3290.pdf', 'CS-TR-3290.pdf', 's44163-022-00022-8.pdf', 'CS-TR-3290.pdf', '1908.07873v1.pdf']",231.16,1,1,1,"['CS-TR-3290.pdf, p. 4', 'CS-TR-3290.pdf, p. 6', 's44163-022-00022-8.pdf, p. 12', 'CS-TR-3290.pdf, p. 9', '1908.07873v1.pdf, p. 3']"
"What is the main AI-related objective of GloVe: Global Vectors for Word Representation Jeffrey Pennington, Richard Socher,?",D14-1162.pdf,"['D14-1162.pdf', '1909.11942v6.pdf', 'D14-1162.pdf', '20-074.pdf', 'D14-1162.pdf']",358.4,1,1,1,"['D14-1162.pdf, p. 1', '1909.11942v6.pdf, p. 13', 'D14-1162.pdf, p. 8', '20-074.pdf, p. 64', 'D14-1162.pdf, p. 2']"
"What is the main AI-related objective of Meredith Whittaker , AI Now Institute, New York University, Google Open Research?",Informe-AI-Now.pdf,"['Informe-AI-Now.pdf', 'Informe-AI-Now.pdf', 'Artificial Intelligence (AI) Ethics_ Ethics of AI and Ethical AI.pdf', 'Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf', 'Informe-AI-Now.pdf']",362.91,1,1,1,"['Informe-AI-Now.pdf, p. 1', 'Informe-AI-Now.pdf, p. 3', 'Artificial Intelligence (AI) Ethics_ Ethics of AI and Ethical AI.pdf, p. 6', 'Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf, p. 2', 'Informe-AI-Now.pdf, p. 62']"
What is the main AI-related objective of Batch Normalization: Accelerating Deep Network Training by Reducing Internal?,ioffe15.pdf,"['ioffe15.pdf', 'ioffe15.pdf', 'ioffe15.pdf', 'ioffe15.pdf', '1511.06434v2.pdf']",359.39,1,1,1,"['ioffe15.pdf, p. 1', 'ioffe15.pdf, p. 2', 'ioffe15.pdf, p. 5', 'ioffe15.pdf, p. 8', '1511.06434v2.pdf, p. 12']"
What is the main AI-related objective of Online edition (c) 2009 Cambridge UP Introduction?,irbookonlinereading.pdf,"['Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf', '9780203802878_previewpdf.pdf', 'irbookonlinereading.pdf', 'irbookonlinereading.pdf', 'irbookonlinereading.pdf']",300.4,0,1,1,"['Complexity - 2021 - Zhai - A Review of Artificial Intelligence  AI  in Education from 2010 to 2020.pdf, p. 2', '9780203802878_previewpdf.pdf, p. 10', 'irbookonlinereading.pdf, p. 30', 'irbookonlinereading.pdf, p. 356', 'irbookonlinereading.pdf, p. 106']"
What is the main AI-related objective of Kafka: a Distributed Messaging System for Log Processing Jay Kreps LinkedIn Corp.?,Kafka.pdf,"['1802.07228v2.pdf', 'irbookonlinereading.pdf', '1708.05031v2.pdf', '1708.05031v2.pdf', 'irbookonlinereading.pdf']",334.59,0,0,0,"['1802.07228v2.pdf, p. 46', 'irbookonlinereading.pdf, p. 485', '1708.05031v2.pdf, p. 7', '1708.05031v2.pdf, p. 7', 'irbookonlinereading.pdf, p. 207']"
What is the main AI-related objective of MapReduce: Simplified Data Processing on Large Clusters Jeffrey Dean and Sanjay?,mapreduce-osdi04.pdf,"['mapreduce-osdi04.pdf', 'mapreduce-osdi04.pdf', 'mapreduce-osdi04.pdf', 'mapreduce-osdi04.pdf', 'Zaharia.pdf']",360.09,1,1,1,"['mapreduce-osdi04.pdf, p. 1', 'mapreduce-osdi04.pdf, p. 1', 'mapreduce-osdi04.pdf, p. 1', 'mapreduce-osdi04.pdf, p. 12', 'Zaharia.pdf, p. 1']"
What is the main AI-related objective of From RankNet to LambdaRank to LambdaMART: An Overview Christopher J.C. Burges?,MSR-TR-2010-82 (1).pdf,"['MSR-TR-2010-82 (1).pdf', 'MSR-TR-2010-82.pdf', 'MSR-TR-2010-82 (1).pdf', 'MSR-TR-2010-82.pdf', 'MSR-TR-2010-82 (1).pdf']",364.06,1,1,1,"['MSR-TR-2010-82 (1).pdf, p. 1', 'MSR-TR-2010-82.pdf, p. 1', 'MSR-TR-2010-82 (1).pdf, p. 7', 'MSR-TR-2010-82.pdf, p. 7', 'MSR-TR-2010-82 (1).pdf, p. 11']"
What is the main AI-related objective of From RankNet to LambdaRank to LambdaMART: An Overview Christopher J.C. Burges?,MSR-TR-2010-82.pdf,"['MSR-TR-2010-82 (1).pdf', 'MSR-TR-2010-82.pdf', 'MSR-TR-2010-82 (1).pdf', 'MSR-TR-2010-82.pdf', 'MSR-TR-2010-82 (1).pdf']",353.01,0,1,1,"['MSR-TR-2010-82 (1).pdf, p. 1', 'MSR-TR-2010-82.pdf, p. 1', 'MSR-TR-2010-82 (1).pdf, p. 7', 'MSR-TR-2010-82.pdf, p. 7', 'MSR-TR-2010-82 (1).pdf, p. 11']"
What is the main AI-related objective of BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding?,N19-1423.pdf,"['N19-1423.pdf', 'N19-1423.pdf', 'N19-1423.pdf', '2303.08774v6.pdf', '2204.02311v5.pdf']",310.64,1,1,1,"['N19-1423.pdf, p. 1', 'N19-1423.pdf, p. 1', 'N19-1423.pdf, p. 2', '2303.08774v6.pdf, p. 18', '2204.02311v5.pdf, p. 53']"
"What is the main AI-related objective of AI AND SCIENCE: WHAT 1,600 RESEARCHERS THINK?",nature20230927_AI_and_science.pdf,"['nature20230927_AI_and_science.pdf', 'nature20230927_AI_and_science.pdf', 'nature20230927_AI_and_science.pdf', 'Informe-AI-Now.pdf', 'nature20230927_AI_and_science.pdf']",290.31,1,1,1,"['nature20230927_AI_and_science.pdf, p. 1', 'nature20230927_AI_and_science.pdf, p. 2', 'nature20230927_AI_and_science.pdf, p. 3', 'Informe-AI-Now.pdf, p. 6', 'nature20230927_AI_and_science.pdf, p. 4']"
What is the main AI-related objective of Language Models are Few-Shot Learners Tom B. Brown Benjamin Mann?,NeurIPS-2020-language-models-are-few-shot-learners-Paper.pdf,"['NeurIPS-2020-language-models-are-few-shot-learners-Paper.pdf', '2302.04761v1.pdf', '2210.03629v3.pdf', 'NeurIPS-2020-language-models-are-few-shot-learners-Paper.pdf', '2307.15818v1.pdf']",353.81,1,1,1,"['NeurIPS-2020-language-models-are-few-shot-learners-Paper.pdf, p. 1', '2302.04761v1.pdf, p. 11', '2210.03629v3.pdf, p. 10', 'NeurIPS-2020-language-models-are-few-shot-learners-Paper.pdf, p. 3', '2307.15818v1.pdf, p. 13']"
What is the main AI-related objective of ImageNet Classification with Deep Convolutional Neural Networks Alex Krizhevsky?,NIPS-2012-imagenet-classification-with-deep-convolutional-neural-networks-Paper.pdf,"['NIPS-2012-imagenet-classification-with-deep-convolutional-neural-networks-Paper.pdf', '2210.07658v2.pdf', '1908.00709v6.pdf', 'bjd0423.pdf', 'NIPS-2012-imagenet-classification-with-deep-convolutional-neural-networks-Paper.pdf']",386.19,1,1,1,"['NIPS-2012-imagenet-classification-with-deep-convolutional-neural-networks-Paper.pdf, p. 1', '2210.07658v2.pdf, p. 10', '1908.00709v6.pdf, p. 26', 'bjd0423.pdf, p. 3', 'NIPS-2012-imagenet-classification-with-deep-convolutional-neural-networks-Paper.pdf, p. 2']"
